Epoch: 001 | Loss: 0.14771416783332825 | lr: 0.001
Epoch: 002 | Loss: 0.14017534255981445 | lr: 0.001
Epoch: 003 | Loss: 0.127741739153862 | lr: 0.001
Epoch: 004 | Loss: 0.13254693150520325 | lr: 0.001
Epoch: 005 | Loss: 0.12488184869289398 | lr: 0.001
Epoch: 006 | Loss: 0.11366256326436996 | lr: 0.001
Epoch: 007 | Loss: 0.12319410592317581 | lr: 0.001
Epoch: 008 | Loss: 0.118825264275074 | lr: 0.001
Epoch: 009 | Loss: 0.13271434605121613 | lr: 0.001
Epoch: 010 | Loss: 0.119997538626194 | lr: 0.001
Epoch: 011 | Loss: 0.11635133624076843 | lr: 0.0001
Epoch: 012 | Loss: 0.12241561710834503 | lr: 0.0001
Epoch: 013 | Loss: 0.1138424351811409 | lr: 0.0001
Epoch: 014 | Loss: 0.11218125373125076 | lr: 0.0001
Epoch: 015 | Loss: 0.114681676030159 | lr: 0.0001
Epoch: 016 | Loss: 0.11924945563077927 | lr: 0.0001
Epoch: 017 | Loss: 0.112655870616436 | lr: 0.0001
Epoch: 018 | Loss: 0.1177150085568428 | lr: 0.0001
Epoch: 019 | Loss: 0.11536698043346405 | lr: 0.0001
Epoch: 020 | Loss: 0.1165173351764679 | lr: 0.0001
